ID,LvlSpr,02-May,01-May,30-Apr,29-Apr,28-Apr,27-Apr,26-Apr,25-Apr,24-Apr,23-Apr,22-Apr,21-Apr,20-Apr,19-Apr,18-Apr,17-Apr,16-Apr,15-Apr,14-Apr,13-Apr,12-Apr,11-Apr,10-Apr,09-Apr,08-Apr,07-Apr,06-Apr,05-Apr,04-Apr,03-Apr,02-Apr,01-Apr,31-Mar,30-Mar,29-Mar,28-Mar,27-Mar,26-Mar,25-Mar,24-Mar,23-Mar,22-Mar,21-Mar,20-Mar,19-Mar,18-Mar,17-Mar,16-Mar,15-Mar,14-Mar,13-Mar,12-Mar,11-Mar,10-Mar,09-Mar,08-Mar,07-Mar,06-Mar,05-Mar,04-Mar,03-Mar,02-Mar,01-Mar,28-Feb,27-Feb,26-Feb,25-Feb,24-Feb,23-Feb,22-Feb,21-Feb,20-Feb,19-Feb,18-Feb,17-Feb,16-Feb,15-Feb,14-Feb,13-Feb,12-Feb,11-Feb,10-Feb,09-Feb,08-Feb,07-Feb
26,Spr,4,3,4,3,3,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lvl,12,11,12,11,11,10,18,13,21,15,12,11,12,11,12,14,11,12,11,11,11,10,15,11,11,11,11,14,11,11,12,11,20,12,10,11,12,12,11,12,14,19,11,11,18,21,30,12,14,11,11,13,11,25,11,10,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Spr,7,6,5,9,5,4,8,8,13,10,14,6,7,4,5,10,6,6,4,7,4,5,12,4,9,7,5,7,16,8,8,7,9,5,3,7,8,4,7,7,11,11,5,3,12,13,15,10,11,7,14,6,6,11,6,4,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Lvl,14,13,13,13,13,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Spr,20,17,20,21,21,24,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lvl,,24,19,19,23,22,14,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Spr,,12,9,13,9,17,18,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lvl,12,10,10,11,10,10,11,11,11,11,11,11,11,11,10,11,10,10,10,10,11,11,11,10,10,10,10,11,11,11,11,10,14,11,10,10,11,10,11,11,11,11,10,11,10,11,11,13,11,11,11,14,12,20,11,11,11,16,10,10,11,14,10,10,11,10,11,11,10,11,10,11,15,14,11,10,14,,11,12,12,,,,
31,Spr,7,3,3,3,4,3,4,4,4,3,6,3,3,3,2,3,3,3,4,3,3,3,3,3,4,2,3,3,4,4,4,5,8,13,3,4,10,3,3,5,5,3,3,3,4,6,6,5,8,4,6,5,5,11,4,4,5,6,3,3,14,16,7,3,3,3,4,4,6,4,3,4,8,4,13,6,5,,6,4,5,,,,
32,Lvl,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Spr,3,5,4,13,3,3,11,6,13,7,3,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
